question,single_extractive,multi_extractive,single_abstractive,multi_abstractive
how to prevent conjunctivitis,"To help prevent newborn conjunctivitis, pregnant women should get treatment for diseases spread through sexual contact. Pregnant women should get treatment for diseases spread through sexual contact to prevent newborn conjunctivitis caused by these infections. When a mother has active herpes sores at the time of delivery, a Cesarean section (C-section) is recommended to prevent serious illness in the baby.","How to prevent Vernal conjunctivitis? Conjunctivitis or pink eye (Prevention): Good hygiene can help prevent the spread of conjunctivitis. To help prevent newborn conjunctivitis, pregnant women should get treatment for diseases spread through sexual contact. Good hygiene can help prevent the spread of conjunctivitis. Using an air conditioner or moving to a cooler climate may prevent vernal conjunctivitis from getting worse in the future.",pregnant women should get treatment for diseases spread through sexual contact. putting eye drops into all infants' eyes can also help prevent infections.,putting eye drops into all infants' eyes right after birth can help prevent infections. putting eye drops into all infants' eyes in the delivery room can also help prevent infections.
how do you administer lanreotide,A nurse or doctor will be able to do this for you. Ask your doctor or pharmacist to explain any part you do not understand. Lanreotide long-acting injection is usually injected once every 4 weeks.,A nurse or doctor will be able to do this for you. A nurse or doctor will be able to do this for you. Ask your doctor or pharmacist to explain any part you do not understand. Ask your doctor or pharmacist to explain any part you do not understand. Lanreotide long-acting injection is usually injected once every 4 weeks.,how do you administer lanreotide Lanreotide? lanreotide may be administered under the skin (subcutaneously) into the upper area of the buttock.,lanreotide Lanreotide may be administered under the skin (subcutaneously) into the upper area of your buttock. a nurse or doctor will be able to do this for you.
Psoriasis for past 7-8 years I had psoriasis on my scalp for nearly 10 years. Please give suggestions and medications.,"Salicylic acid is available in medicated shampoos and scalp solutions to treat scalp psoriasis. Salicylic acid is available in medicated shampoos and scalp solutions to treat scalp psoriasis. For severe psoriasis or psoriasis resistant to other types of treatment, your doctor may prescribe oral or injected drugs.","Salicylic acid is available in medicated shampoos and scalp solutions to treat scalp psoriasis. Salicylic acid is available in medicated shampoos and scalp solutions to treat scalp psoriasis. ...Most of the time, psoriasis is treated with medicines that are placed directly on the skin or scalp. ...Most of the time, psoriasis is treated with medicines that are placed directly on the skin or scalp. Most of the time, psoriasis is treated with topical medicines that are placed directly on the skin or scalp.",topical psoriasis treatments include corticosteroids as a short-term treatment during flares. anthralin can also remove scales and make skin smoother. retinoids are vitamin A derivatives that may decrease inflammation.,"psoriasis is treated with topical treatments, light therapy and systemic medications. adalimumab (Humira), etanercept (Enbrel), infliximab (Stelara), ixekizumab (Taltz) and adalimumab (Humira) are used for treatment of psoriasis. adalimumab (Humira), et"
"prevention of preeclampsia I know that the jury is out on the exact causes of preeclampsia, but I am looking for some of the ways that the chances of acquiring it can be minimized.",It is important for all pregnant women to start prenatal care early and continue it through the pregnancy. It is important for all pregnant women to start prenatal care early and continue it through the pregnancy. There is no known way to prevent preeclampsia.,The risk of developing preeclampsia is highest during the first pregnancy. The risk of developing preeclampsia is highest during the first pregnancy. Experts believe it begins in the placenta - the organ that nourishes the fetus throughout pregnancy. The exact cause of preeclampsia involves several factors. The risk of preeclampsia is higher if you're obese.,there is no known way to prevent preeclampsia. it is important for all pregnant women to start prenatal care early.,a woman who had preeclampsia in a previous pregnancy is seven times more likely to develop preeclampsia in a later pregnancy. a woman who had preeclampsia in a previous pregnancy is seven times more likely to develop preeclampsia in a later pregnancy. a woman who had preeclampsia in a previous pregnancy is seven times more likely to develop preeclampsia in a later pregnancy
I have been researching Lewy Body Disease and have a few questions.1) Is this disease hereditary2) Does alcoholism play a role in the beginning process of this disease3) What are the initial symptoms of the diseaseAny information you could forward would be greatly appreciated.,"Although the exact cause of Lewy body dementia is poorly understood, symptoms are thought to result when clumps of a protein called alpha-synuclein (""Lewy bodies"") accumulate in the brain. Although the exact cause of Lewy body dementia is poorly understood, symptoms are thought to result when clumps of a protein called alpha-synuclein (""Lewy bodies"") accumulate in the brain. Other familial cases do not follow a specific pattern of inheritance and likely have a multifactorial cause (associated with the effects of multiple genes in combination with lifestyle and environmental factors ).","You may have loss of motivation. Blood pressure, pulse, sweating and the digestive process are regulated by a part of the nervous system that is often affected by Lewy body dementia. Blood pressure, pulse, sweating and the digestive process are regulated by a part of the nervous system that is often affected by Lewy body dementia. Although the exact cause of Lewy body dementia is poorly understood, symptoms are thought to result when clumps of a protein called alpha-synuclein (""Lewy bodies"") accumulate in the brain. Although the exact cause of Lewy body dementia is poorly understood, symptoms are thought to result when clumps of a protein called alpha-synuclein (""Lewy bodies"") accumulate in the brain.",lewy body dementia is one of the most common forms of progressive dementia. symptoms are thought to result when clumps of a protein called alpha-synuclein accumulate in the brain.,"lewy body dementia is one of the most common forms of progressive dementia. people affected may experience a variety of symptoms such as changes in alertness and attention; hallucinations; problems with movement and posture; confusion; and/or memory loss. there is currently no cure for lewy body dementia; however, medications may be available to help manage the associated symptoms."
"Duchenne Muscular Dystrophy. I am doing a research project on this genetic disease and I would like to know more about it from a professional.  I am researching the mode of inheritance, symptoms, treatments/ support groups, and relative cost to family.","Duchenne muscular dystrophy is a form of muscular dystrophy. Because this is an inherited disorder, risks include a family history of Duchenne muscular dystrophy. The condition most often affects boys due to the way the disease is inherited.","Duchenne muscular dystrophy is a form of muscular dystrophy. The goal of treatment is to control the symptoms of DMD and related complications caused by severe progressive muscle weakness and loss in order to maximize the quality of life. Because this is an inherited disorder, risks include a family history of Duchenne muscular dystrophy. Duchenne muscular dystrophy lis a debilitating disease that often leads to death by age 25, typically from lung disorders. Duchenne muscular dystrophy is caused by a defective gene, however, it often occurs in people without a known family history of the condition.","duchenne muscular dystrophy occurs in about 1 out of every 3,600 male infants. the disease is caused by a defective gene.","duchenne muscular dystrophy occurs in about 1 out of every 3,600 male infants. the condition most often affects boys due to the way the disease is inherited. the sons of women carriers of the disease have a 50% chance of having the disease."
"I am 23yr boy,i have knock knees i want treatment. Please help me.",Knock knees are not treated in most cases. Surgery may be considered for knock knees that are severe and continue beyond late childhood. Surgery may be considered for knock knees that are severe and continue beyond late childhood.,"Children normally outgrow knock knees without treatment, unless it is caused by a disease. Children normally outgrow knock knees without treatment, unless it is caused by a disease. Children normally outgrow knock knees without treatment, unless it is caused by a disease. Rare complications of knock knees include difficulty walking and self-esteem changes related to appearance of the knees. Complications may include: - Difficulty walking (very rare) - Self-esteem changes related to cosmetic appearance of knock knees - If left untreated, knock knees can lead to early arthritis of the knee",surgery may be considered for knock knees that are severe and continue beyond late childhood.,"surgery may be considered for knock knees that are severe and continue beyond late childhood. if the problem continues after age 7, the child may use a night brace. this brace is attached to a shoe."
help with obesity I would like help on my obesity problem and if I can get help,"You may need to work with a team of health professionals - including a dietitian, behavior counselor or an obesity specialist - to help you understand and make changes in your eating and activity habits. They will help you understand and make changes in your eating habits and increase physical activity. To reach and stay at a healthy weight, you may need to work with a dietitian, behavior counselor or an obesity specialist.","You may need to work with a team of health professionals - including a dietitian, behavior counselor or an obesity specialist - to help you understand and make changes in your eating and activity habits. Weight-loss medications are meant to help people who may have health problems related to overweight or obesity. If you are struggling with your weight, you may find that a healthy eating plan and regular physical activity help you lose weight and keep it off over the long term. Treatment for overweight and obesity depends on the cause and severity of your condition. When combined with changes to behavior, including eating and physical activity habits, prescription medications may help some people lose weight.","help with obesity depends on your level of obesity, your overall health and your willingness to participate in your weight-loss plan.","weight-loss surgery isn't a miracle cure for overweight and obesity. a diet, exercise, and exercise program are the best options for weight loss. a diet, exercise, and exercise program are also available."
how do you check for lupus?,"It may take months or years for your doctor to diagnose lupus (system lupus erythematosus). There is no single test to diagnose systemic lupus erythematosus (lupus). - Samples from the blood, skin, or kidneys for laboratory tests.","It can check for problems with your valves and other portions of your heart. If you test positive for ANA, your doctor may advise more-specific antibody testing. A chest X-ray may be used to check for fluid or inflammation in your lungs, which can occur if lupus has affected your lungs. Blood tests can assess how well your kidneys and liver are functioning. Results may indicate you have anemia, which commonly occurs in lupus.",lupus erythematosus may take months or years for your doctor to diagnose it. there is no single test to diagnose lupus.,"lupus erythematosus is a systemic disease, which can affect your kidneys. a chest X-ray may be used to check for fluid or inflammation in your lungs. a positive ANA test indicates a stimulated immune system."
williams sydrome conditon.    i need to send me more information about Williams Syndrome and some tips how to educate people with this disorder.I hope having news from you soon!!thank you,"Williams syndrome is a rare disorder that can lead to problems with development. However, people with Williams syndrome have a 50% chance of passing the disorder on to each of their children. Williams syndrome is a rare, inherited disorder that can lead to developmental issues.","Williams syndrome (Outlook (Prognosis)): About 75% of people with Williams syndrome have some intellectual disability. Seek genetic counseling if you have a family history of Williams syndrome. Williams syndrome is a rare disorder that can lead to problems with development. 75% of individuals with Williams syndrome have some intellectual disability. However, people with Williams syndrome have a 50% chance of passing the disorder on to each of their children.","williams sydrome conditon has inherited the disorder. it can lead to developmental issues. it occurs in about 1 in 8,000 births.","Williams syndrome occurs in about 1 in 8,000 births. symptoms include developmental delay, attention deficit disorder, feeding problems, intellectual disability, friendliness with strangers, fear of loud sounds, flattened nasal bridge, long ridges in the skin that run from the nose to the upper lip. there is no cure for Williams syndrome, but prenatal testing is available for couples with a family history of Williams syndrome."
